State,English,Math,Reading,Science
Alabama,18.9,18.3,19.6,19
Alaska,19.8,20.6,21.6,20.7
Arizona,18.2,19.4,19.5,19.2
Arkansas,19.1,18.9,19.7,19.4
California,22.5,22.5,23,22.1
Colorado,23.9,23.2,24.4,23.5
Connecticut,26,24.8,26.1,24.9
Delaware,23.7,23.1,24.5,23.4
District of Columbia,23.7,22.7,24.4,23
Florida,19.2,19.3,21.1,19.5
Georgia,20.9,20.7,21.2,21.4
Hawaii,18.2,19,19.1,19
Idaho,21.9,21.6,23.2,22.1
Illinois,24.1,23.4,24.2,23.4
Indiana,21.9,22.3,23.1,22.2
Iowa,21,21.2,22.5,22
Kansas,21,21.1,22.3,21.5
Kentucky,19.9,19.7,20.8,20.1
Louisiana,19,18.5,19.6,19.1
Maine,23.8,23.6,24.7,23.4
Maryland,22.1,22,23.1,22.2
Massachusetts,25.5,25.2,25.9,24.7
Michigan,24.5,23.9,24.7,23.9
Minnesota,20.2,21.4,21.7,21.4
Mississippi,18.2,18.1,18.9,18.6
Missouri,19.5,19.7,20.5,20
Montana,18.7,19.9,20.7,20
Nebraska,19.4,19.8,20.4,20.1
Nevada,16.6,17.8,18,17.9
New Hampshire,25.1,24.7,25.6,24.4
New Jersey,23.8,23.6,24,23
New Mexico,18.3,19.1,20.1,19.7
New York,24.2,24.2,24.9,24.2
North Carolina,18,19.3,19.5,19.2
North Dakota,19.1,20.3,20.7,20.5
Ohio,19.3,20.3,20.8,20.4
Oklahoma,18.4,18.8,20.1,19.4
Oregon,20.6,20.9,21.9,21.1
Pennsylvania,23.3,23.2,24,23.1
Rhode Island,24.4,23.6,25,23.5
South Carolina,17.3,18.2,18.6,18.5
South Dakota,20.8,21.6,22.4,22.2
Tennessee,19.4,19.1,19.9,19.6
Texas,19.6,20.6,21.1,20.8
Utah,19.7,19.9,20.9,20.5
Vermont,23.9,23.4,24.9,23.8
Virginia,23.8,23.3,24.7,23.5
Washington,21.4,22.2,22.7,22
West Virginia,19.8,19.4,21.3,20.4
Wisconsin,19.8,20.3,20.6,20.8
Wyoming,19,19.7,20.6,20.3
